How Arts Affect Your Life: Responses,If You Could Change One Thing... Responses:
"I work for a large corporation and started off in a call center with limited creative outlets. I started painting by chance after attendinga paint night event years and years ago. Now I paint for fun, I’ve shown a few times but mostly I respect the arts, love to see it in our city/home, and think it’s essential for supporting people, communities and fellow artist. ",
the arts have always been an important part of my life - dance - music - literature and theater supporting all  art forms - I have always managed to incorporate the arts in all of my non profit organizations over tge pst 30+ years in Hartford! ,"The last GHAC survey I responded to I spoke mostly about a desire for more public art, much like how many cities (even local ones) had attracted projects like Pow Wow Worldwide (just an example, I have no idea about their specific viability or ethos) for more large scale mural work. I've been really pleased to see more large scale visual work since then, and would encourage the continuation of that!

For this survey, my pie-in-the-sky transformation would be about live music. 

Looking back through our family calendar, my partner and I have gone to btw 20-25 shows per year (all within driving distance - e.g. New England, NYC, Hudson Valley), the past few years. 

We have very broad musical interests. I would say no more than 2-3 of those shows per year were huge acts (let's say tickets above $100 per person). 

That said, of those 20-25 shows, on average usually ~4 are in CT, and there's only been 1 in the Greater Hartford area, the last 2 years.

While I love travelling to see live music, it seems silly that we're ALWAYS travelling to see live music, even more so for genres with strong historical footholds in the area. "
"Every day, small opportunities present themselves for me to seek out comfort, or to seek out challenge. While it's not always a strict dichotomy (i.e. there can be challenge in comfort, and vice versa), they do often present as two distinct pathways. I find art to be among the few things that can be equally pleasing/rewarding no matter which header it falls under. It is also one of the few areas of my life  where I feel fearlessly curious, and happy to follow where the unknown might lead. ",Don't forget about the little organizations outside of Hartford.  It seems that funding works from the city of Hartford out.
"I'm a peformer, director, teacher, and creator. I do improv, and play the flute. My kids are musicians. Many of my friends are performers and artists too."," GHAC plays a pivotal role in supporting our arts ecosystem by ""connecting the dots,"" facilitating partnerships, and promoting the arts in our community."
"I've been on the boards of two community choirs.  The one I'm involved with now I have served as president for 6 years.  By being involvement in these organizations, I learned how important they were to the local communities. The boards of these organizations were a group of members dedicated to performing great music to the community. Very few disagreements, everyone has the same goal. There missions were similar and both were fulfilling them. 
Singing is very important to people.  The first time I sang in the same room with a full orchestra I cried. I had never experienced singing literally amidst the music. It was moving through me.
I also have had many emotional times watching a musical at the Bushnell.  W attend often.  It's one of my favorite night out."," HIghlight individual artists in an array of endeavors and backgrounds, their personal stories, challenges, triumphs, impact, how GHAC advanced their journey.  Develop ways to showcase them in a variety of venues to a variety of audiences (some of this may already be done; perhaps more, with broader support and publicity, involving each community, geographic, demographic,  and otherwise. 
Perhaps accompanied, simultaneously or sequentially, with data that highlights the econonic impact, quality of life impact, and other measures for a vibrant and diverse arts community throughout the region."
Arts and culture have helped to broaden my understanding and appreciation for our community. It's adds meaning and relevance to my life., There was a partnership with Travelers this summer which brought musical artists to the Travelers Plaza for live performances.  I was aware these were happening and I was aware of the GHAC's connection to it because of emails from Travelers.  It's possible that I've been connected to some of the GHAC's work but not aware of the GHAC's connection because I wasn't brand-aware.  Perhaps ensuring the GHAC's contributions are branded in the moment would prompt my greater awareness.
"I've met incredibly talented artists - visual artists, poets and performers - who are great people.  That's where it begins, and their artistry is a reflection of who they are, and their ability to connect with others in meaningful and inspiring ways.  It is wonderful to appreciate their talent and who they are as individuals - and the abundant ways in which our community is enriched by their artistry and quality of their character.", I think it's important that the GHAC continues to evolve into an organization that connects artists with opportunities. That can take a lot of different forms for a lot of different people. We need to figure out what our role is within the arts community based on what the arts community currently needs the most.
"I tend to be an enthusiastic personality.  The arts fires that enthusiasm in a myriad of ways.  It validates and often depicts passions in my life and other times it presents new perspectives for me to explore to expand my mindset and understanding of the world and my place in it.  I am a fan of art in the form of painting, sculpture, drama, literature, and music."," I don't feel qualified to answer this question.  I believe GHAC is important to the community, but do not know enough about its day-to-day to have an opinion."
The arts build community and through my work supporting local artists I feel that I'm helping to strengthen that community. I take a lot of pride in that., For GHAC to be the resource guide when looking for artists to connect with or things to do in the area.
"Among all the arts, music is integral to my daily happiness and fulfillment.  I am a devoted listener, not at all a maker, but would be lost without that form of art in its many forms.  All live music is good music! I do also appreciate and support other art forms, and think artistic expression - and appreciation - are crucial for a full life."," As an artist, I have to take issue with the summertime Old State House performance program. If cancelled due to weather, the artist gets NOTHING. When I play a wedding or other event, I will receive half payment to compensate for holding the date and not taking any other opportunity. The spotted lantern fly is clear evidence of climate change, and thus the increased chance of sudden storms. This modern reality challenges GHAC’s mission to support artists if no compensation is available for elements beyond the artists’ control. Their financial obligations still exist, rain or shine. It makes me wonder if GHAC’s allegiance is to their donors or artists."
